year,month,format,sst_mean,t2m_mean,d2m_mean,wind_speed_mean,deltaT_mean,n_hours
2003,01,nc,299.8605041503906,297.7147827148437,290.2126159667969,3.782066345214844,-2.1457295417785645,744
2003,02,grib,300.08209228515625,298.2123413085937,290.9658508300781,4.015271663665772,-1.8697305917739868,672
2003,03,grib,300.6713562011719,299.646240234375,291.2487487792969,4.247125148773193,-1.025115966796875,744
2003,04,grib,301.9234924316406,301.1492919921875,294.6714172363281,3.985763311386109,-0.7741566896438599,720
2003,05,grib,302.847412109375,301.9193420410156,295.964599609375,4.728753089904785,-0.928017795085907,744
2003,06,grib,303.04522705078125,301.04327392578125,297.70068359375,5.761138439178467,-2.001985788345337,720
2003,07,nc,302.1004638671875,299.8962707519531,297.4075622558594,6.907674312591553,-2.204197645187378,744
2003,08,grib,301.2552795410156,299.4306030273437,296.8114624023437,6.611711502075195,-1.8246656656265257,744
2003,09,grib,301.6509094238281,299.4281311035156,296.347412109375,4.886092662811279,-2.222804069519043,720
2003,10,grib,302.6793212890625,301.023193359375,294.9395751953125,2.7343993186950684,-1.6561086177825928,744
2003,11,grib,301.87860107421875,300.119873046875,293.0993957519531,2.9099771976470947,-1.7587192058563232,720
2003,12,grib,300.69805908203125,298.0333251953125,290.0369567871094,3.710047006607056,-2.664743661880493,744
2004,01,nc,300.0833740234375,297.0269775390625,289.1094055175781,3.774916887283325,-3.0564076900482178,744
2004,02,grib,299.7689514160156,298.05352783203125,289.7085876464844,4.136857509613037,-1.7154240608215332,696
2004,03,grib,301.033203125,300.6165771484375,292.2123718261719,3.671050786972046,-0.4166107177734375,744
2004,04,grib,301.9794616699219,300.9619445800781,294.96051025390625,3.8765063285827637,-1.017537236213684,720
2004,05,grib,302.8255920410156,301.8843688964844,296.5842590332031,4.318919658660889,-0.941242516040802,744
2004,06,grib,302.4693603515625,300.5810852050781,297.2906494140625,6.818263053894043,-1.8882856369018555,720
2004,07,nc,301.9013671875,299.6547241210937,296.9595642089844,6.283400058746338,-2.2466275691986084,744
2004,08,grib,300.5546875,298.9934387207031,296.3963623046875,7.97657585144043,-1.5612491369247437,744
2004,09,grib,301.6982421875,299.6416320800781,296.30450439453125,3.6041100025177,-2.0565950870513916,720
2004,10,grib,301.6434020996094,299.9566955566406,294.306396484375,3.4386281967163086,-1.6867035627365112,744
2004,11,grib,302.1673583984375,300.2448425292969,292.90478515625,3.115006446838379,-1.922493815422058,720
2004,12,grib,300.9459533691406,298.2396545410156,290.14019775390625,3.79114031791687,-2.706278085708618,744
2005,01,nc,299.5932312011719,296.5205078125,288.2846374511719,4.383825302124023,-3.0727479457855225,744
2005,02,grib,299.2930603027344,297.06390380859375,289.4301452636719,3.735128164291382,-2.2291371822357178,672
2005,03,grib,300.0724182128906,299.1065979003906,291.6112365722656,3.9568448066711426,-0.9658219814300537,744
2005,04,grib,301.8083801269531,301.2330627441406,293.73748779296875,3.223856210708618,-0.5753179788589478,720
2005,05,grib,303.18939208984375,301.9107971191406,295.73406982421875,4.0826735496521,-1.2786201238632202,744
2005,06,grib,303.287109375,301.3382873535156,297.5225524902344,5.571222305297852,-1.9488165378570557,720
2005,07,nc,301.6919250488281,299.9864196777344,297.3613586425781,7.317737102508545,-1.7054941654205322,744
2005,08,grib,300.90655517578125,299.2722473144531,296.6211853027344,6.727461814880371,-1.6343001127243042,744
2005,09,grib,301.0022888183594,299.3842468261719,296.6772155761719,5.70712423324585,-1.6180533170700073,720
2005,10,grib,301.92669677734375,300.1859436035156,294.89764404296875,2.7067551612854004,-1.7407646179199219,744
2005,11,grib,301.2135925292969,299.11444091796875,291.0802001953125,3.316662311553955,-2.0991313457489014,720
2005,12,grib,299.90411376953125,297.34332275390625,289.3277282714844,4.416059970855713,-2.5607962608337402,744
